Unnamed: 0: PSI=2.6408672641686283e-07
age: PSI=0.002775435920262581
workclass: PSI=0.0066707349911103225
education: PSI=0.0013013595260576284
education-num: PSI=0.0030748847544964015
marital-status: PSI=0.0016706230701588336
occupation: PSI=0.0003518988709306605
relationship: PSI=0.001987994110731215
race: PSI=0.0021258708733949755
sex: PSI=0.0013516995857851422
capital-gain: PSI=0.0012233472396319615
capital-loss: PSI=0.0049214607407015295
hours-per-week: PSI=0.0029002439237599863
native-country: PSI=0.00038226748789171877
income_per_hour: PSI=0.10333569601365379
total_capital: PSI=0.0036581761292794556
age_group: PSI=0.0014869993944768697
workclass_grouped: PSI=0.0023664628164593807
is_gov_employee: PSI=0.004736573635296153
is_married: PSI=0.0016867414795608477
